record_id,player_id,team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,match_outcome,mvp_award
41,16,Team Alpha,Entry Fragger,Frozen Base,Semi-Final,13,7,14,55.3,206.66,0.15,45.15,1.0,Win,No
42,216,Phantom Squad,Flex,Desert Storm,Final,18,10,11,37.62,213.91,0.87,45.11,0.96,Win,No
43,23,Team Nova,Flex,Dust Arena,Playoff,22,11,6,45.45,252.83,0.59,65.82,1.0,Win,Yes
44,306,Team Nova,IGL,Skyline,Group Stage,13,3,15,43.93,258.1,0.45,31.47,0.73,Win,No
45,22,CyberX,Sniper,Dust Arena,Qualifier,11,8,12,38.61,215.06,1.0,27.3,1.0,Win,No
46,279,Titan Esports,Sniper,Desert Storm,Final,8,4,10,45.47,261.66,0.44,28.34,0.52,Loss,No
47,108,Phantom Squad,Entry Fragger,Frozen Base,Group Stage,14,8,6,44.29,220.9,0.22,49.94,1.0,Win,No
48,72,Phantom Squad,Entry Fragger,Frozen Base,Group Stage,19,9,8,35.97,229.78,0.42,52.78,0.9,Win,No
49,7,Team Alpha,Flex,Desert Storm,Playoff,13,10,14,45.91,224.51,0.43,40.66,1.0,Win,No
50,340,Phantom Squad,Support,Desert Storm,Qualifier,12,7,11,50.38,280.17,0.83,36.89,0.94,Win,No
51,439,Team Alpha,Flex,Dust Arena,Group Stage,11,11,5,40.11,177.8,0.29,45.16,1.0,Win,No
52,410,Phantom Squad,Flex,Desert Storm,Final,12,7,11,37.93,209.43,0.08,38.17,0.91,Win,No
53,112,Red Vortex,Sniper,Skyline,Final,18,9,15,44.4,238.62,0.19,50.3,1.0,Win,No
54,357,Team Alpha,Sniper,Neon City,Qualifier,17,9,10,45.96,206.04,0.83,47.68,1.0,Win,No
55,210,CyberX,IGL,Neon City,Playoff,12,5,10,53.25,175.43,0.89,36.73,0.73,Win,No
56,374,CyberX,Entry Fragger,Neon City,Playoff,13,10,8,49.68,189.88,0.04,52.44,0.95,Win,No
57,120,Titan Esports,Entry Fragger,Skyline,Final,14,10,16,47.31,293.66,0.23,43.36,0.88,Win,No
58,469,Team Nova,IGL,Desert Storm,Playoff,11,10,13,40.21,226.09,0.59,33.21,0.68,Win,No
59,20,Red Vortex,IGL,Skyline,Final,16,10,9,44.73,273.84,0.08,54.56,1.0,Win,No
60,188,Team Alpha,Flex,Skyline,Final,15,17,6,36.51,199.31,0.82,51.05,1.0,Win,No
61,65,Red Vortex,Support,Skyline,Final,19,5,11,42.54,226.57,0.76,45.67,1.0,Win,No
62,154,Titan Esports,IGL,Dust Arena,Group Stage,13,7,11,45.38,205.6,0.87,35.99,0.87,Win,No
63,186,Titan Esports,Support,Desert Storm,Playoff,18,3,10,40.56,276.43,0.27,46.58,0.84,Win,No
64,254,Red Vortex,IGL,Frozen Base,Playoff,11,10,15,43.58,182.45,0.86,30.19,0.95,Win,No
65,468,Team Nova,Flex,Dust Arena,Group Stage,11,10,5,39.59,274.03,0.2,44.8,0.87,Win,No
66,86,Team Alpha,Flex,Desert Storm,Qualifier,16,4,9,44.89,172.48,0.69,42.55,1.0,Win,No
67,347,Team Alpha,Sniper,Skyline,Semi-Final,9,6,8,43.02,199.54,0.03,37.21,0.85,Win,No
68,87,Red Vortex,Support,Desert Storm,Final,10,7,16,39.14,274.36,0.87,21.87,0.75,Win,No
69,20,Team Alpha,Flex,Neon City,Final,13,8,4,36.75,204.12,0.79,40.48,0.9,Win,No
70,97,Team Alpha,Sniper,Frozen Base,Final,16,7,7,62.14,231.98,0.74,55.67,1.0,Win,No
71,409,Red Vortex,IGL,Dust Arena,Qualifier,14,11,7,56.01,243.31,0.13,58.7,1.0,Win,No
72,282,Red Vortex,Support,Skyline,Group Stage,11,10,7,47.09,253.23,0.13,47.25,0.9,Win,No
73,491,Team Alpha,Entry Fragger,Frozen Base,Group Stage,26,6,7,38.29,235.62,0.17,68.44,1.0,Win,Yes
74,368,Team Nova,Entry Fragger,Skyline,Final,16,4,16,61.61,216.07,0.93,41.5,0.81,Win,No
75,354,Red Vortex,Flex,Skyline,Final,13,4,17,43.93,252.58,0.52,29.77,1.0,Win,No
76,395,CyberX,Support,Frozen Base,Playoff,10,9,10,43.88,226.03,0.03,40.64,1.0,Win,No
77,12,CyberX,Sniper,Frozen Base,Qualifier,22,8,11,43.05,248.92,0.33,59.23,1.0,Win,No
78,26,Team Alpha,IGL,Neon City,Group Stage,14,3,9,49.56,193.45,0.45,42.28,1.0,Win,No
79,137,Team Nova,Flex,Frozen Base,Final,12,8,10,35.75,174.02,0.4,35.88,0.96,Win,No
80,352,Team Nova,Support,Dust Arena,Playoff,16,5,8,64.52,169.21,0.28,58.46,1.0,Win,No
81,426,Team Alpha,IGL,Frozen Base,Group Stage,13,7,12,59.77,226.67,0.11,49.79,0.84,Win,No
82,210,Phantom Squad,Entry Fragger,Dust Arena,Final,25,9,11,48.52,182.68,0.78,64.46,1.0,Win,Yes
83,467,Team Nova,Flex,Neon City,Semi-Final,12,9,5,54.8,268.7,0.55,49.9,0.94,Win,No
84,63,Team Alpha,Entry Fragger,Frozen Base,Semi-Final,16,9,12,34.04,208.63,0.09,45.12,0.93,Win,No
85,481,CyberX,IGL,Neon City,Group Stage,21,5,13,53.25,223.26,0.65,54.12,0.84,Win,No
86,271,Titan Esports,IGL,Skyline,Playoff,13,10,10,47.99,267.5,0.35,46.5,0.93,Win,No
87,363,Team Alpha,Support,Neon City,Semi-Final,17,10,13,49.03,237.47,0.71,48.41,0.91,Win,No
88,180,Phantom Squad,Support,Skyline,Group Stage,9,12,13,34.35,237.05,0.3,31.17,0.87,Win,No
89,417,Red Vortex,Entry Fragger,Dust Arena,Group Stage,8,12,10,42.03,190.23,0.07,38.31,0.89,Win,No
90,403,Team Alpha,Sniper,Frozen Base,Qualifier,13,7,13,49.24,224.46,0.98,34.82,0.81,Win,No
91,56,CyberX,Sniper,Frozen Base,Final,12,4,13,52.6,175.45,0.53,36.0,0.76,Win,No
92,248,Team Alpha,Entry Fragger,Desert Storm,Final,20,6,9,43.33,203.61,0.54,53.27,1.0,Win,No
93,70,Team Alpha,Sniper,Frozen Base,Playoff,11,9,10,54.35,194.11,0.48,43.38,0.8,Win,No
94,75,Team Nova,Flex,Dust Arena,Semi-Final,14,10,11,32.09,228.3,0.61,36.95,0.95,Win,No
95,426,Team Nova,Entry Fragger,Desert Storm,Final,8,5,12,34.22,190.85,0.35,22.61,0.79,Win,No
96,105,Red Vortex,Support,Desert Storm,Semi-Final,11,4,8,54.26,177.35,0.21,43.03,1.0,Win,No
97,35,Red Vortex,Entry Fragger,Frozen Base,Qualifier,10,13,7,31.1,161.56,0.61,35.45,0.83,Win,No
98,282,Team Alpha,Sniper,Neon City,Group Stage,12,14,6,42.79,244.38,0.21,51.29,1.0,Win,No
99,220,Titan Esports,Support,Dust Arena,Semi-Final,15,12,7,55.3,207.32,0.2,60.65,1.0,Win,Yes
100,122,Team Nova,Sniper,Neon City,Qualifier,16,5,12,48.16,216.37,0.33,45.78,1.0,Win,No
101,169,Titan Esports,Flex,Skyline,Playoff,10,10,11,40.59,296.75,0.64,32.9,0.84,Win,No
102,79,Team Alpha,IGL,Skyline,Qualifier,16,7,8,39.5,248.43,0.52,45.55,1.0,Win,No
103,26,Phantom Squad,Sniper,Skyline,Group Stage,14,9,11,43.19,191.22,0.84,39.2,1.0,Win,No
104,497,CyberX,Entry Fragger,Frozen Base,Qualifier,16,3,14,29.5,163.12,0.94,26.35,0.78,Win,No
105,97,Titan Esports,Entry Fragger,Skyline,Semi-Final,12,7,12,58.29,206.29,0.77,40.44,0.94,Win,No
106,359,Titan Esports,Support,Skyline,Semi-Final,10,5,7,36.22,210.89,0.78,28.31,0.94,Win,No
107,480,Team Nova,Sniper,Frozen Base,Semi-Final,8,3,10,50.89,211.56,0.02,34.24,0.87,Win,No
108,262,Team Nova,Entry Fragger,Skyline,Final,7,11,6,45.7,238.99,0.56,36.25,0.82,Win,No
109,347,Red Vortex,Sniper,Skyline,Semi-Final,15,7,10,49.95,281.72,0.06,51.38,1.0,Win,No
110,237,Team Alpha,Flex,Frozen Base,Semi-Final,14,7,14,45.46,229.52,0.77,36.03,0.86,Win,No
111,53,Titan Esports,Sniper,Desert Storm,Semi-Final,15,10,13,54.51,236.1,0.4,50.25,1.0,Win,No
112,285,Team Nova,IGL,Skyline,Final,10,8,6,51.82,197.93,0.88,39.11,0.91,Win,No
113,228,Phantom Squad,Entry Fragger,Frozen Base,Final,19,9,11,49.64,229.77,0.08,60.02,1.0,Win,Yes
114,49,Phantom Squad,Support,Desert Storm,Playoff,15,10,5,49.77,208.25,0.45,55.39,0.96,Win,No
115,297,Titan Esports,Entry Fragger,Dust Arena,Semi-Final,18,10,8,46.01,278.17,0.31,57.9,1.0,Win,No
116,100,Team Nova,Support,Neon City,Final,18,10,21,34.47,203.94,0.74,34.84,0.84,Win,No
117,81,Red Vortex,IGL,Desert Storm,Playoff,22,10,14,47.94,275.15,0.1,62.97,0.94,Win,Yes
118,194,CyberX,Entry Fragger,Desert Storm,Semi-Final,16,9,7,42.63,222.49,1.0,45.31,0.91,Win,No
119,301,Team Nova,IGL,Neon City,Group Stage,20,5,14,23.37,240.34,0.32,39.48,1.0,Win,No
120,335,Red Vortex,Sniper,Dust Arena,Playoff,16,9,11,42.18,288.73,0.07,50.39,1.0,Win,No
121,478,Team Nova,Flex,Dust Arena,Group Stage,12,5,10,32.96,242.8,0.21,33.38,0.81,Win,No
122,104,CyberX,Support,Dust Arena,Group Stage,5,9,8,45.05,219.44,0.7,26.52,0.87,Win,No
123,370,Red Vortex,Flex,Desert Storm,Qualifier,12,9,11,57.9,246.91,0.11,49.85,0.92,Win,No
124,131,Phantom Squad,Support,Neon City,Group Stage,13,7,9,27.33,226.2,0.87,28.96,0.87,Win,No
125,188,Titan Esports,Sniper,Skyline,Semi-Final,18,4,9,66.42,205.43,0.04,63.81,1.0,Win,Yes
126,363,Team Nova,IGL,Frozen Base,Qualifier,13,14,11,36.78,267.57,0.69,40.49,0.98,Win,No
127,285,Team Alpha,Entry Fragger,Desert Storm,Final,13,5,11,40.5,213.72,0.41,36.15,0.97,Win,No
128,354,CyberX,Flex,Skyline,Qualifier,16,6,9,35.53,217.35,0.16,45.16,0.91,Win,No
129,406,Team Nova,Support,Neon City,Final,14,12,10,58.86,286.94,0.76,51.83,1.0,Win,No
130,473,Phantom Squad,Entry Fragger,Desert Storm,Playoff,13,6,11,54.82,282.22,0.49,43.51,0.84,Win,No
131,477,CyberX,Entry Fragger,Desert Storm,Playoff,20,6,15,53.69,222.94,0.13,56.55,1.0,Win,No
132,248,Red Vortex,Entry Fragger,Frozen Base,Playoff,19,10,13,47.24,155.93,0.58,52.82,1.0,Win,No
133,254,Titan Esports,Flex,Skyline,Playoff,14,9,14,63.67,225.77,0.93,45.53,0.95,Win,No
134,436,Phantom Squad,Entry Fragger,Dust Arena,Qualifier,17,8,13,41.89,235.45,0.14,48.55,1.0,Win,No
135,384,Team Alpha,Entry Fragger,Frozen Base,Group Stage,18,8,4,45.85,215.96,0.95,53.42,0.84,Win,No
136,112,Titan Esports,IGL,Desert Storm,Qualifier,8,5,7,46.71,244.88,0.32,34.16,0.82,Win,No
137,232,Phantom Squad,Support,Frozen Base,Qualifier,15,11,12,51.75,236.78,0.8,46.88,1.0,Win,No
138,208,CyberX,Entry Fragger,Skyline,Playoff,10,5,12,67.08,220.01,0.05,46.04,0.96,Win,No
139,456,Team Alpha,Flex,Desert Storm,Playoff,12,2,7,39.74,210.89,0.36,35.27,0.93,Win,No
140,434,Titan Esports,Support,Neon City,Playoff,13,11,12,41.09,226.1,0.64,39.15,0.86,Win,No
141,60,Team Alpha,Support,Skyline,Qualifier,6,7,13,47.61,229.01,0.21,27.7,0.74,Win,No
142,94,Team Alpha,Flex,Neon City,Qualifier,20,10,15,61.83,203.68,0.11,64.81,1.0,Win,Yes
143,87,Team Nova,Flex,Skyline,Group Stage,15,4,6,24.5,214.27,0.53,34.95,0.84,Win,No
144,422,Team Nova,Support,Frozen Base,Final,15,6,6,45.12,223.06,0.35,49.06,1.0,Win,No
145,434,Titan Esports,Entry Fragger,Neon City,Playoff,13,10,4,44.17,170.7,0.75,46.59,0.9,Win,No
146,412,Team Nova,Sniper,Frozen Base,Semi-Final,8,6,13,44.67,267.42,0.26,28.73,0.69,Win,No
147,379,Red Vortex,Flex,Desert Storm,Group Stage,13,6,11,32.14,225.54,0.5,32.07,0.77,Win,No
148,190,Team Alpha,Sniper,Skyline,Playoff,12,6,14,46.8,172.06,0.44,35.0,0.9,Win,No
149,244,CyberX,Entry Fragger,Dust Arena,Qualifier,16,14,12,56.87,230.67,0.5,57.44,1.0,Win,No
150,79,Team Alpha,Support,Desert Storm,Final,12,6,10,43.34,209.25,0.4,37.67,0.81,Win,No
151,83,CyberX,IGL,Neon City,Group Stage,13,11,15,32.79,220.98,0.04,37.99,0.84,Win,No
152,354,CyberX,Entry Fragger,Dust Arena,Final,24,13,11,50.49,246.61,0.21,73.15,1.0,Win,Yes
153,385,Team Alpha,IGL,Skyline,Playoff,8,12,9,47.78,205.38,0.0,42.89,1.0,Win,No
154,337,Team Nova,Entry Fragger,Desert Storm,Playoff,11,2,7,24.53,239.99,0.42,25.07,0.8,Win,No
155,38,Phantom Squad,Sniper,Dust Arena,Playoff,13,11,10,48.84,202.92,0.58,45.62,1.0,Win,No
156,278,Red Vortex,IGL,Dust Arena,Qualifier,12,14,13,32.98,181.03,0.98,31.69,0.69,Win,No
157,297,Team Nova,IGL,Frozen Base,Group Stage,18,7,14,32.86,209.29,0.7,38.43,0.9,Win,No
158,492,Red Vortex,IGL,Neon City,Final,26,9,8,55.56,231.3,0.8,72.78,1.0,Win,Yes
159,329,Titan Esports,Support,Frozen Base,Group Stage,12,5,10,36.77,179.42,0.62,31.19,0.93,Win,No
160,472,Team Alpha,Flex,Skyline,Qualifier,14,8,12,38.05,209.21,0.75,35.52,0.72,Win,No
161,297,Team Alpha,Support,Frozen Base,Qualifier,9,7,9,39.86,271.05,0.35,32.43,0.67,Win,No
162,321,Red Vortex,Sniper,Dust Arena,Final,11,6,17,39.8,225.92,0.62,24.7,0.67,Win,No
163,222,Titan Esports,Flex,Dust Arena,Final,17,6,8,43.28,228.3,0.59,47.74,1.0,Win,No
164,298,Red Vortex,Sniper,Skyline,Group Stage,14,9,5,54.36,216.06,0.26,56.58,1.0,Win,No
165,345,Team Nova,Support,Desert Storm,Semi-Final,14,6,7,38.73,199.28,0.27,43.66,1.0,Win,No
166,95,Titan Esports,Entry Fragger,Neon City,Qualifier,16,12,9,42.59,252.19,0.27,53.59,1.0,Win,No
167,117,Phantom Squad,Flex,Frozen Base,Final,13,10,13,41.9,218.64,0.3,40.95,0.84,Win,No
168,327,CyberX,Entry Fragger,Dust Arena,Group Stage,15,6,4,45.03,243.71,0.81,46.41,1.0,Win,No
169,116,Team Alpha,Support,Frozen Base,Playoff,17,9,8,50.66,220.27,0.88,51.53,0.99,Win,No
170,192,Phantom Squad,IGL,Skyline,Semi-Final,16,10,12,38.19,223.36,0.16,47.49,1.0,Win,No
171,287,Team Alpha,IGL,Skyline,Group Stage,8,5,10,33.98,203.06,0.22,25.79,0.77,Win,No
172,168,Titan Esports,Sniper,Frozen Base,Group Stage,16,10,11,48.56,193.14,0.69,48.38,0.94,Win,No
173,388,Team Nova,Flex,Dust Arena,Semi-Final,11,6,10,56.71,249.91,0.25,43.86,1.0,Win,No
174,105,Phantom Squad,Flex,Frozen Base,Group Stage,15,10,9,46.06,201.8,0.38,50.23,1.0,Win,No
175,62,Team Alpha,Flex,Neon City,Group Stage,19,7,10,55.32,249.04,0.01,62.56,1.0,Win,Yes
176,472,Titan Esports,IGL,Dust Arena,Qualifier,15,11,11,35.9,206.71,0.89,39.05,0.84,Win,No
177,347,Team Nova,Flex,Frozen Base,Semi-Final,18,9,7,51.81,215.3,0.51,58.8,1.0,Win,No
178,394,CyberX,Sniper,Dust Arena,Playoff,19,9,7,57.15,245.45,0.81,60.48,0.98,Win,Yes
179,240,CyberX,Sniper,Neon City,Final,18,5,7,42.34,234.75,0.56,49.57,1.0,Win,No
180,347,Red Vortex,Sniper,Skyline,Playoff,13,9,12,42.89,189.5,0.02,44.24,0.92,Win,No
181,451,Red Vortex,Entry Fragger,Dust Arena,Final,13,5,11,53.57,280.6,0.62,40.58,0.93,Win,No
182,56,Phantom Squad,Entry Fragger,Frozen Base,Final,18,14,12,53.36,236.75,0.17,62.98,1.0,Win,Yes
183,109,Titan Esports,Sniper,Neon City,Semi-Final,15,9,14,57.43,245.62,0.84,45.32,0.86,Win,No
184,267,Titan Esports,Sniper,Neon City,Group Stage,14,7,9,69.5,247.95,0.88,51.95,1.0,Win,No
185,230,CyberX,Flex,Desert Storm,Playoff,17,11,14,40.87,214.11,0.98,41.64,0.95,Win,No
186,357,Team Alpha,Sniper,Frozen Base,Group Stage,23,5,5,47.47,168.93,0.8,61.73,1.0,Win,Yes
187,354,Phantom Squad,Sniper,Desert Storm,Playoff,13,5,7,41.7,192.2,0.86,36.25,0.67,Win,No
188,276,Team Nova,IGL,Dust Arena,Group Stage,16,7,10,43.8,184.42,0.73,43.6,0.7,Win,No
189,38,CyberX,Support,Frozen Base,Final,16,14,14,40.79,161.07,0.76,44.79,0.92,Win,No
190,81,Phantom Squad,Flex,Neon City,Semi-Final,24,9,7,42.6,201.76,0.83,63.0,1.0,Win,Yes
191,53,Team Alpha,Sniper,Frozen Base,Playoff,10,8,7,49.28,256.87,0.75,38.14,0.87,Win,No
192,19,Red Vortex,IGL,Neon City,Qualifier,13,5,15,35.53,267.73,0.15,32.27,0.8,Win,No
193,455,Titan Esports,Support,Skyline,Final,15,7,8,51.15,226.46,0.51,49.48,0.93,Win,No
194,181,Red Vortex,Entry Fragger,Neon City,Final,14,4,12,45.01,174.48,0.17,40.8,0.98,Win,No
195,401,Red Vortex,Support,Dust Arena,Playoff,14,9,10,39.38,183.86,0.03,46.39,0.97,Win,No
196,413,Phantom Squad,Entry Fragger,Desert Storm,Playoff,22,10,12,47.02,187.35,0.08,64.71,1.0,Win,Yes
197,32,CyberX,Flex,Neon City,Semi-Final,14,7,6,45.68,130.27,0.25,49.34,1.0,Win,No
198,29,Team Alpha,Entry Fragger,Dust Arena,Qualifier,18,5,7,42.02,168.78,0.88,46.21,0.81,Win,No
199,227,Titan Esports,Flex,Neon City,Playoff,13,6,12,44.5,164.48,0.3,39.25,0.76,Win,No
200,298,Phantom Squad,IGL,Neon City,Semi-Final,10,12,5,60.9,189.16,0.98,47.65,0.97,Win,No
201,176,Team Nova,Entry Fragger,Skyline,Semi-Final,11,6,11,44.47,233.52,0.35,35.73,0.82,Win,No
202,227,Team Alpha,Entry Fragger,Skyline,Final,11,10,5,60.1,257.01,0.22,54.85,1.0,Win,No
203,399,Titan Esports,Entry Fragger,Dust Arena,Playoff,14,9,10,48.63,190.53,0.97,41.61,1.0,Win,No
204,462,Red Vortex,Entry Fragger,Frozen Base,Group Stage,8,7,11,48.99,206.04,0.35,33.0,0.8,Win,No
205,54,CyberX,Entry Fragger,Skyline,Playoff,14,6,9,46.22,250.54,0.23,45.81,1.0,Win,No
206,157,Phantom Squad,Support,Dust Arena,Playoff,24,16,9,45.15,239.64,0.48,72.78,1.0,Win,Yes
207,45,CyberX,IGL,Skyline,Semi-Final,15,4,9,55.46,184.64,0.81,44.63,0.93,Win,No
208,98,Red Vortex,Support,Frozen Base,Group Stage,19,7,11,49.64,233.52,0.42,54.62,0.86,Win,No
209,112,Titan Esports,Sniper,Frozen Base,Group Stage,10,6,12,41.13,201.63,0.02,34.36,0.81,Win,No
210,451,Phantom Squad,Support,Skyline,Semi-Final,14,3,11,40.94,199.7,0.04,40.07,1.0,Win,No
211,275,Titan Esports,Entry Fragger,Skyline,Semi-Final,16,8,9,40.27,239.65,0.23,48.84,0.98,Win,No
212,315,Team Alpha,Entry Fragger,Dust Arena,Playoff,13,4,9,37.83,240.19,0.16,38.31,0.65,Win,No
213,477,Team Alpha,Entry Fragger,Dust Arena,Group Stage,16,7,12,34.46,243.28,0.89,35.33,0.82,Win,No
214,385,Red Vortex,Flex,Desert Storm,Qualifier,12,10,12,49.88,207.71,0.47,42.24,0.99,Win,No
215,135,Red Vortex,Entry Fragger,Skyline,Final,16,10,13,37.38,199.69,0.77,39.99,0.96,Win,No
216,56,Red Vortex,Sniper,Dust Arena,Playoff,9,13,7,41.83,195.75,0.06,44.31,1.0,Win,No
217,371,Titan Esports,Flex,Desert Storm,Playoff,10,8,5,45.61,211.82,0.43,41.51,0.79,Win,No
218,339,Phantom Squad,Sniper,Neon City,Group Stage,12,7,11,46.52,214.82,0.14,41.86,1.0,Win,No
219,374,Phantom Squad,Entry Fragger,Neon City,Semi-Final,18,8,8,54.49,263.09,0.59,57.35,1.0,Win,No
220,271,Phantom Squad,Flex,Neon City,Final,16,6,12,35.04,192.51,0.25,41.02,1.0,Win,No
221,100,Team Alpha,IGL,Desert Storm,Qualifier,16,6,8,56.35,145.37,0.87,49.47,0.94,Win,No
222,351,CyberX,Flex,Skyline,Final,13,9,14,53.12,242.35,0.19,45.66,1.0,Win,No
223,395,Red Vortex,IGL,Frozen Base,Qualifier,14,7,5,46.57,192.88,0.54,47.88,1.0,Win,No
224,203,Titan Esports,Support,Frozen Base,Semi-Final,19,12,12,34.84,241.18,0.02,55.22,1.0,Win,No
225,194,Team Alpha,Flex,Skyline,Qualifier,13,10,9,45.63,156.14,0.16,48.21,0.78,Win,No
226,99,CyberX,Sniper,Frozen Base,Final,14,11,10,39.51,166.1,0.34,45.35,1.0,Win,No
227,389,Red Vortex,Sniper,Dust Arena,Final,10,7,8,38.47,222.34,0.57,32.53,0.8,Win,No
228,220,Team Alpha,Support,Dust Arena,Playoff,12,8,10,51.43,234.74,0.28,44.92,1.0,Win,No
229,23,CyberX,IGL,Neon City,Semi-Final,23,9,10,40.28,245.33,0.13,63.84,1.0,Win,Yes
230,487,Titan Esports,Support,Frozen Base,Playoff,14,9,13,38.34,233.33,0.78,35.37,0.96,Win,No
231,469,Titan Esports,IGL,Neon City,Final,16,7,11,32.64,223.97,0.67,37.62,0.87,Win,No
232,297,CyberX,Flex,Dust Arena,Playoff,10,6,14,38.56,198.17,0.07,30.58,0.81,Win,No
233,478,Titan Esports,Sniper,Desert Storm,Qualifier,16,5,7,41.71,223.96,0.95,41.36,0.86,Win,No
234,248,Red Vortex,Support,Frozen Base,Final,8,8,9,51.57,254.61,0.41,36.68,1.0,Win,No
235,155,Phantom Squad,Entry Fragger,Neon City,Final,15,3,17,37.67,254.03,0.39,30.94,0.78,Win,No
236,236,Titan Esports,Flex,Skyline,Final,11,9,7,43.29,229.69,0.18,43.84,0.93,Win,No
237,420,Titan Esports,Support,Desert Storm,Group Stage,19,9,10,46.26,220.19,0.14,58.73,0.99,Win,No
